Date MM/DD/YYYY,Invoice Number,Company,Category,Product Details,Quantity,Amount / Unit,Tax Structure,Input Tax / Unit,Total Input Tax / Unit,Total Amount,Month of Sale,Date MM/DD/YYYY.1,Invoice Number.1,Company.1,Amount / Unit.1,Output Tax,Total Output Tax Collected,Total Amount.1,Profit / Invoice,Purchase Price,Input Tax,Total Incoming Price,Sell Price,Output Tax.1,Nett Selling Price,VAT
12-Mar-21,BAN/2021/059,Company I,Headphone,Plantronics Blackwire C3225 Headphone,1,4500,18,810,810,5310,21-Mar,12-Mar-21,HT100,Company 45,5250,945,945,6195,750,4500,810,5310,5250,945,6195,135
15-Mar-21,20210893,Company B,Printer,TVS LP â€“ 46 LITE Barcode Label Printer,1,10762.71,18,1937.29,1937.29,12700,21-Apr,22-Apr-21,HT005,Company 2,12600,2268,2268,14868,1837,10762.71,1937.29,12700,12600,2268,14868,330.71
15-Mar-21,20210893,Company B,Printer,TVS LP â€“ 46 LITE Barcode Label Printer,3,10762.71,18,1937.29,5811.86,38099.99,21-Mar,13-May-21,HT009,Company 2,12600,2268,6804,44604,5512,32288.13,5811.86,38099.99,37800,6804,44604,992.14
15-Mar-21,20210893,Company B,Printer,TVS LP â€“ 46 LITE Barcode Label Printer,1,10762.71,18,1937.29,1937.29,12700,21-Mar,25-May-21,HT010,Company 2,12600,2268,2268,14868,1837,10762.71,1937.29,12700,12600,2268,14868,330.71
18-Mar-21,ANU/20-21/1126,Company E,Processor,AMD Ryzen 3950X CPU,1,55250,18,9945,9945,65195,21-Mar,24-Mar-21,HT103,Company 20,57606.78,10369.22,10369.22,67976,2357,55250,9945,65195,57606.78,10369.22,67976,424.22
18-Mar-21,ANU/20-21/1126,Company E,Memory,HyperX 32 GB DDR4 3200 MHz Module,4,12300,18,2214,8856,58056,21-Mar,24-Mar-21,HT103,Company 20,13000,2340,9360,61360,2800,49200,8856,58056,52000,9360,61360,504
18-Mar-21,ANU/20-21/1126,Company E,Motherboard,MSI MPG X570 Gaming Edge Wifi,1,17250,18,3105,3105,20355,21-Mar,24-Mar-21,HT103,Company 20,21000,3780,3780,24780,3750,17250,3105,20355,21000,3780,24780,675
18-Mar-21,ANU/20-21/1126,Company E,Graphic Card,Gigabtye GeForce RTX 2080 Super Gaming OC 8G,1,71000,18,12780,12780,83780,21-Mar,24-Mar-21,HT103,Company 20,75000,13500,13500,88500,4000,71000,12780,83780,75000,13500,88500,720
18-Mar-21,ANU/20-21/1126,Company E,Storage,"980 EVO 1TB 2.5"" SSD",1,9650,18,1737,1737,11387,21-Mar,24-Mar-21,HT103,Company 20,13500,2430,2430,15930,3850,9650,1737,11387,13500,2430,15930,693
18-Mar-21,ANU/20-21/1126,Company E,Cabinet,Deepcool Matrexx 70,1,8000,18,1440,1440,9440,21-Mar,24-Mar-21,HT103,Company 20,13000,2340,2340,15340,5000,8000,1440,9440,13000,2340,15340,900
18-Mar-21,ANU/20-21/1126,Company E,SMPS,Cooler Master 750W Brownz,1,5650,18,1017,1017,6667,21-Mar,24-Mar-21,HT103,Company 20,7000,1260,1260,8260,1350,5650,1017,6667,7000,1260,8260,243
18-Mar-21,ANU/20-21/1126,Company E,CPU FAN,Carsair H45,1,3950,18,711,711,4661,21-Mar,24-Mar-21,HT103,Company 20,5000,900,900,5900,1050,3950,711,4661,5000,900,5900,189
18-Mar-21,ANU/20-21/1126,Company E,Display,"HP 27F Monitor 4K 27"" Display",1,29250,18,5265,5265,34515,21-Mar,24-Mar-21,HT103,Company 20,35000,6300,6300,41300,5750,29250,5265,34515,35000,6300,41300,1035
18-Mar-21,ANU/20-21/1126,Company E,Wireless Keyboard & Mouse,Logitech Wireless MK275 Combo,1,1350,18,243,243,1593,21-Mar,24-Mar-21,HT103,Company 20,1750,315,315,2065,400,1350,243,1593,1750,315,2065,72
